fecha,presion_media,presion_min,presion_max,presion_desv,humedad_media,humedad_min,humedad_max,humedad_desv,viento_media,viento_min,viento_max,viento_desv,rafaga_media,rafaga_min,rafaga_max,rafaga_desv,viento_norte,viento_este,direccion_viento,registros_del_dia,anio,dia_del_anio,estacion_anio,mes,sector_viento,temp_max_manana
2009-01-01,999.1456,996.5,1000.87,1.3993,91.086,87.5,94.8,1.765,0.7786,0.05,1.55964121,0.5753,1.3783,0.25,2.25557673,0.8488,-0.3618,-0.0223,183.5308,143.0,2009.0,1.0,invierno,enero,S,-2.12
2009-01-02,999.6006,997.93,1002.65,1.5039,92.0868,86.6,96.3,2.7588,1.4195,0.22,3.87,0.9168,2.2274,0.63,6.13,1.2544,0.4267,0.3689,40.8436,144.0,2009.0,2.0,invierno,julio,NE,-0.82
2009-01-03,998.5486,993.05,1002.49,3.1304,76.4581,48.39,93.9,15.1796,1.2509,0.12,3.64,0.7299,2.0651,0.38,4.88,0.933,-0.6993,-0.5268,216.9916,144.0,2009.0,3.0,invierno,enero,SO,-0.63
2009-01-04,988.5107,985.12,992.93,2.3223,89.4174,,,4.4904,1.7204,0.54,2.45441545,0.7023,3.5649,1.38,4.43037523,1.1835,-1.1268,-1.0413,222.7419,144.0,2009.0,4.0,invierno,enero,SO,-1.44
2009-01-05,990.4057,,997.54,4.2315,86.2604,74.6,93.2,5.3922,3.8003,1.0,7.81,1.9521,5.94,2.13,10.88,,2.6275,0.2874,6.2418,,2009.0,5.0,verano,enero,N,-10.88
2009-01-07,993.5064,991.5,998.41,1.8001,85.6597,80.8,93.4,3.1011,0.7225,0.08,1.13710893,0.3202,1.4833,,2.33014125,0.5552,-0.5664,0.1691,163.3723,144.0,2009.0,7.0,invierno,enero,S,-4.06
2009-01-08,1002.9697,,1004.61,1.5812,87.5826,75.1,92.5,5.2771,0.8702,0.06,2.94,0.6658,1.4436,0.25,4.13,0.87,-0.7479,0.0034,179.7388,144.0,2009.0,8.0,verano,mayo,S,-3.61
2009-01-09,1003.1133,1002.04,1003.87,0.474,83.9762,59.98,92.84372072874389,9.0218,0.6638,0.19,1.61,0.3116,1.2378,0.5,2.5,0.447,-0.5115,0.0161,178.1928,144.0,2009.0,9.0,invierno,enero,S,-2.24
2009-01-10,1002.9676,1002.08,1003.99,0.6683,82.3408,59.67,93.0,10.8955,0.6665,,2.14,0.3778,1.3066,0.38,3.88,0.5674,-0.5302,0.0725,172.208,144.0,2009.0,10.0,verano,enero,S,-0.13
2009-01-11,1004.0075,1002.56,,0.6769,83.4093,58.23,93.2,10.4141,1.235,0.12,2.42956061,0.8149,2.2899,0.5,3.4175405,1.2194,-1.0837,0.115,173.944,144.0,2009.0,11.0,invierno,enero,S,2.32
2009-01-12,998.4947,993.68,1003.34,2.9773,72.4442,50.8,88.5,12.4534,2.4599,1.12,3.85,0.5952,3.6968,2.25,5.5,0.7597,-2.3036,-0.4289,190.5456,144.0,2009.0,12.0,verano,junio,S,4.9
2009-01-13,990.1472,988.02,993.54,1.4712,61.7875,42.38,75.8,9.3221,2.4801,0.47,4.4,0.8583,3.7881,1.13,6.25,1.046,-2.3479,-0.2096,185.1016,144.0,2009.0,13.0,invierno,enero,S,0.43
2009-01-14,987.5876,986.43,990.18,0.9993,80.6224,59.08,91.7,9.3468,0.8526,0.12,3.05,0.5681,1.6855,0.5,4.75,0.8747,-0.6576,0.0412,176.4107,144.0,2009.0,14.0,verano,enero,S,4.52
2009-01-15,994.1072,990.2,997.54,2.0477,91.1028,73.0,97.6,5.647,0.6442,0.06,1.19924603,0.3849,1.261,0.5,2.01945575,0.5522,-0.3029,0.1424,154.8295,144.0,2009.0,15.0,verano,septiembre,SE,1.17
2009-01-17,992.1331,988.23,995.15,2.0551,87.7028,82.5,93.8,2.8481,,2.0160000000000005,14.148,81.77,3.3924,1.0,6.0,54.50000000000001,-2.0065,0.0543,178.4501,144.0,2009.0,,verano,abril,S,5.31
2009-01-18,979.1435,972.33,988.11,5.3253,82.7548,67.98,94.3,7.0427,10.70604,0.684,34.953763244301435,1.6974,4.623,0.75,10.75,2.4464,-2.6939,-0.8217,196.9619,144.0,2009.0,18.0,verano,septiembre,S,4.27
2009-01-19,972.7938,965.94,980.02,5.5264,79.5069,69.0,88.6,4.8139,3.3216,0.27,4.95854058,1.9596,5.0651,0.63,,2.8144,-3.1466,-0.3015,185.4729,144.0,2009.0,19.0,invierno,enero,S,6.8
2009-01-20,971.3083,965.27,977.35,3.7879,79.5139,71.6,95.2,6.8664,2.0826,0.13,4.16939941,1.4944,3.2169,0.5,6.605173730000001,2.2039,-1.7052,-0.998,210.3379,144.0,2009.0,20.0,invierno,noviembre,SO,1.3
2009-01-21,980.2045,977.43,983.42,1.7664,92.7806,84.5,97.0,4.0448,0.6531,0.1,1.87,0.326,1.211,0.38,2.75,0.4502,-0.5049,-0.0119,181.3462,144.0,2009.0,21.0,verano,enero,S,3.05
2009-01-22,9784.115,971.48,,3.9853,86.7311,69.11,97.6,9.7926,10.09692,1.4400000000000002,26.532,178.43,4.2533,0.88,10.13,122.65,-2.7229,-0.1899,183.9897,144.0,2009.0,22.0,verano,octubre,S,5.77
2009-01-23,955.5102,944.58,971.4,8.8742,78.0708,58.67,91.1,7.2499,5.1039,1.13710893,12.536035421366131,1.9491,7.7377,3.25,9.0098795,2.9064,-4.882,-0.4137,184.8438,144.0,2009.0,23.0,invierno,enero,S,5.41
2009-01-24,961.1252,952.33,970.98,,74.6343,55.83,94.54454858932803,10.7749,,0.06,8.04,1.9681,4.6603,0.38,11.0,2.8308,-2.1991,-1.7205,218.0386,144.0,2009.0,24.0,invierno,enero,SO,6.31
2009-01-26,977.231,975.0,980.89,1.7438,96.5639,95.2,97.5,0.5982,1.4099,0.04,2.10644769,0.9215,2.1535,0.38,2.72160498,1.1234,1.0684,0.367,18.9574,144.0,,26.0,verano,septiembre,N,-1.04
2009-01-27,986.1106,980.97,990.97,3.2006,98.9958,,100.0,1.1007,8.05644,0.0,14.184,88.3,3.3226,0.0,5.5,59.34,1.9919,0.9426,25.3231,144.0,2009.0,27.0,verano,noviembre,NE,-1.63
2009-01-28,992.824,990.85,995.12,1.3317,96.0736,89.8,100.0,3.8702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,2009.0,28.0,verano,septiembre,N,-1.74
2009-01-29,996.851,995.02,998.83,1.2328,88.3306,82.5,95.0,3.4851,1.589,0.0,4.44,1.1156,2.7997,0.0,6.88,1.8484,0.7466,1.26,59.3524,144.0,2009.0,29.0,invierno,enero,NE,-1.84
2009-01-30,998.9144,997.48,1000.03,0.5527,80.9375,75.6,88.6,3.2773,2.1109,0.9,3.6,0.5995,3.7403,1.88,7.63,0.9137,0.9395,1.7367,61.5891,144.0,2009.0,30.0,invierno,enero,NE,-0.79
2009-02-01,985.7607,982.74,989.86,1.8135,,75.9,94.6,4.1694,14.17968,4.248,24.12,1.33,6.1717,2.0,10.25,2.0702,2.7982,2.6972,43.9461,144.0,2009.0,32.0,verano,julio,NE,3.71
2009-02-03,973.8671,972.46,976.35,1.1087,88.1817,63.26,99.31849145558738,9.5014,1.7377200000000002,,,40.99,0.971,0.23612098,4.271406718859167,25.465,-0.1624,-0.0542,198.4735,144.0,2009.0,34.0,verano,abril,S,4.89
2009-02-04,972.084,971.01,972.68,0.4541,91.9382,71.7,100.0,7.7782,3.0873600000000003,0.324,7.668,0.5055,1.4775,0.38,4.25,0.6789,-0.2618,-0.064,193.7441,144.0,2009.0,35.0,verano,agosto,S,6.43
2009-02-05,972.0015,970.82,972.85,0.5615,85.9655,68.65,98.7,10.6563,1.8062,0.73,1.9883872,0.5107,2.8342,0.9320565,6.672665530248407,0.6244,-1.6899,,186.4352,144.0,2009.0,36.0,invierno,febrero,S,9.12
2009-02-06,968.3094,963.96,971.67,2.2298,82.0547,60.1,93.5,9.8233,1.3933,0.15,3.42,0.6936,2.3068,0.5,4.25,0.868,-0.6962,-0.1003,188.2003,144.0,2009.0,37.0,invierno,febrero,S,6.09
2009-02-07,961.9011,959.77,965.63,1.3918,86.2749,68.09,95.1,6.9473,4.61376,0.5040000000000001,13.752,0.8533,2.2036,0.63,5.75,1.2145,-0.4124,-0.7016,239.5515,144.0,2009.0,38.0,verano,febrero,SO,4.41
2009-02-08,973.6899,965.76,980.42,4.5123,74.4915,53.32,,,1.8748,0.46,3.34,0.7482,3.7619,1.25,8.0,1.5596,-0.2625,-1.5957,260.6586,144.0,2009.0,39.0,verano,febrero,O,3.01
2009-02-09,979.9308,973.52,982.03,2.0426,73.16,56.779999999999994,85.6,9.4777,3.2418,0.2,7.47,2.1283,4.684,0.63,10.25,2.8609,-2.9185,-1.106,200.7544,144.0,2009.0,40.0,verano,septiembre,S,7.06
2009-02-10,964.1137,958.84,973.46,4.0884,84.9585,67.87,98.5,8.6911,4.9952,1.54,12.96,2.6215,7.7501,2.63,18.38,3.8409,,-2.0308,206.289,144.0,2009.0,41.0,invierno,septiembre,SO,2.07
2009-02-11,979.3765,969.3,983.73,4.3935,79.437,58.989999999999995,92.5,8.2159,2.9253,1.38,4.63,0.6902,5.7106,2.63,9.88,1.5916,-0.2685,-2.8414,264.6013,144.0,2009.0,42.0,invierno,julio,O,1.44
